Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,650945,2898000,30
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,652461,2893700,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,650945,2898000,30
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,652521,2897600,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
B,652661,2892500,30
S,652521,2897600,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,652521,2897600,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
B,653045,2892600,30
S,652521,2897600,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,652521,2897600,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,652521,2897600,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,653613,2893200,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,653613,2893200,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,653621,2900400,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,653613,2893200,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,653613,2893200,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,653637,2900400,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,653613,2893200,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,653613,2893200,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,653613,2893200,30
S,653681,2900400,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,653613,2893200,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
B,653745,2893700,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
B,653745,2893700,30
S,638881,2901000,100
S,613469,2930000,1
S,653749,2899300,30
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
B,653745,2893700,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
B,653745,2893700,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
S,653929,2899300,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
S,653929,2899300,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
B,654005,2894300,30
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
S,653929,2899300,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
B,654005,2894300,30
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,654129,2901000,30
S,638881,2901000,100
S,613469,2930000,1
B,654005,2894300,30
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,654129,2901000,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
B,654157,2893100,30
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
B,654157,2893100,30
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
S,654241,2902100,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
B,654157,2893100,30
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
S,654241,2902100,30
S,654245,2901000,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
B,654157,2893100,30
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
S,654241,2902100,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
S,654241,2902100,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
B,654341,2893700,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
S,654241,2902100,30
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
B,654341,2893700,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,654357,2901500,30
B,654341,2893700,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,654357,2901500,30
S,638881,2901000,100
S,613469,2930000,1
S,437221,2960000,12
S,421433,2902500,500
B,204713,2792800,256
B,74473,2890000,73
B,147977,2840000,65
B,136145,2850000,63
S,110837,3000000,10
S,112669,2942300,1
B,129557,2860000,61
B,131101,2893000,100
B,169433,2895000,12
S,11825,2999000,16
B,184737,2875000,22
B,105925,2637000,80
B,124113,2870000,59
S,618565,2901500,90
S,112577,2910000,15
B,112681,2162600,1
B,119665,2880000,57
B,190533,2865000,25
B,104861,2498200,100
B,133877,2885000,100
S,112685,2980200,1
B,178021,2885000,18
B,202401,2855000,57
B,346441,2894000,120
B,268557,2880000,150
S,257465,2949200,14
B,506593,2750000,90
S,110533,3000000,4
Side,Order Ref. Number,Price,Volume
S,654357,2901500,30
